https://lucide.dev/icons/


Glyph Name                | QML Hex    | Decimal
align-horizontal-space-between | \ue276     | 57974   
align-vertical-justify-center | \ue277     | 57975   
align-vertical-justify-end | \ue278     | 57976   
align-vertical-justify-start | \ue279     | 57977   
align-vertical-space-around | \ue27a     | 57978   
align-vertical-space-between | \ue27b     | 57979   
stretch-horizontal        | \ue27c     | 57980   
stretch-vertical          | \ue27d     | 57981   
align-vertical-distribute-center | \ue27e     | 57982   
align-vertical-distribute-end | \ue27f     | 57983   
align-vertical-distribute-start | \ue280     | 57984   
tree-palm                 | \ue281     | 57985   
locate-off                | \ue282     | 57986   
waves                     | \ue283     | 57987   
keyboard                  | \ue284     | 57988   
baseline                  | \ue285     | 57989   
rocket                    | \ue286     | 57990   
dice-1                    | \ue287     | 57991   
dice-2                    | \ue288     | 57992   
dice-3                    | \ue289     | 57993   
dice-4                    | \ue28a     | 57994   
dice-5                    | \ue28b     | 57995   
dice-6                    | \ue28c     | 57996   
git-fork                  | \ue28d     | 57997   
mouse                     | \ue28e     | 57998   
eraser                    | \ue28f     | 57999   
building-2                | \ue290     | 58000   
frame                     | \ue291     | 58001   
flag-off                  | \ue292     | 58002   
chevrons-left-right       | \ue293     | 58003   
chevrons-right-left       | \ue294     | 58004   
heart-off                 | \ue295     | 58005   
hourglass                 | \ue296     | 58006   
accessibility             | \ue297     | 58007   
milestone                 | \ue298     | 58008   
sun-dim                   | \ue299     | 58009   
sliders-horizontal        | \ue29a     | 58010   
clapperboard              | \ue29b     | 58011   
puzzle                    | \ue29c     | 58012   
vibrate-off               | \ue29d     | 58013   
focus                     | \ue29e     | 58014   
factory                   | \ue29f     | 58015   
redo-2                    | \ue2a0     | 58016   
undo-2                    | \ue2a1     | 58017   
chart-bar                 | \ue2a2     | 58018   
chart-column              | \ue2a3     | 58019   
chart-column-increasing   | \ue2a4     | 58020   
chart-line                | \ue2a5     | 58021   
map-pin-off               | \ue2a6     | 58022   
navigation-2-off          | \ue2a7     | 58023   
navigation-off            | \ue2a8     | 58024   
tram-front                | \ue2a9     | 58025   
venetian-mask             | \ue2aa     | 58026   
bath                      | \ue2ab     | 58027   
chef-hat                  | \ue2ac     | 58028   
component                 | \ue2ad     | 58029   
croissant                 | \ue2ae     | 58030   
fuel                      | \ue2af     | 58031   
star-off                  | \ue2b0     | 58032   
sun-medium                | \ue2b1     | 58033   
sun-moon                  | \ue2b2     | 58034   
sword                     | \ue2b3     | 58035   
swords                    | \ue2b4     | 58036   
magnet                    | \ue2b5     | 58037   
pin-off                   | \ue2b6     | 58038   
calendar-check            | \ue2b7     | 58039   
calendar-check-2          | \ue2b8     | 58040   
calendar-days             | \ue2b9     | 58041   
calendar-minus            | \ue2ba     | 58042   
calendar-off              | \ue2bb     | 58043   
calendar-plus             | \ue2bc     | 58044   
calendar-range            | \ue2bd     | 58045   
calendar-x                | \ue2be     | 58046   
calendar-x-2              | \ue2bf     | 58047   
armchair                  | \ue2c0     | 58048   
bed                       | \ue2c1     | 58049   
bed-double                | \ue2c2     | 58050   
bed-single                | \ue2c3     | 58051   
sofa                      | \ue2c4     | 58052   
dices                     | \ue2c5     | 58053   
cigarette                 | \ue2c6     | 58054   
cigarette-off             | \ue2c7     | 58055   
backpack                  | \ue2c8     | 58056   
baggage-claim             | \ue2c9     | 58057   
luggage                   | \ue2ca     | 58058   
fingerprint-pattern       | \ue2cb     | 58059   
package-open              | \ue2cc     | 58060   
archive-restore           | \ue2cd     | 58061   
baby                      | \ue2ce     | 58062   
beer                      | \ue2cf     | 58063   
boxes                     | \ue2d0     | 58064   
cup-soda                  | \ue2d1     | 58065   
diamond                   | \ue2d2     | 58066   
flower                    | \ue2d3     | 58067   
flower-2                  | \ue2d4     | 58068   
glass-water               | \ue2d5     | 58069   
heart-crack               | \ue2d6     | 58070   
heart-handshake           | \ue2d7     | 58071   
lamp                      | \ue2d8     | 58072   
lamp-ceiling              | \ue2d9     | 58073   
lamp-desk                 | \ue2da     | 58074   
lamp-floor                | \ue2db     | 58075   
lamp-wall-down            | \ue2dc     | 58076   
lamp-wall-up              | \ue2dd     | 58077   
leaf                      | \ue2de     | 58078   
list-end                  | \ue2df     | 58079   
list-music                | \ue2e0     | 58080   
list-start                | \ue2e1     | 58081   
list-video                | \ue2e2     | 58082   
martini                   | \ue2e3     | 58083   
microscope                | \ue2e4     | 58084   
move-3d                   | \ue2e5     | 58085   
paint-bucket              | \ue2e6     | 58086   
paintbrush                | \ue2e7     | 58087   
paintbrush-vertical       | \ue2e8     | 58088   
recycle                   | \ue2e9     | 58089   
rotate-3d                 | \ue2ea     | 58090   
scale-3d                  | \ue2eb     | 58091   
scaling                   | \ue2ec     | 58092   
scroll                    | \ue2ed     | 58093   
shrub                     | \ue2ee     | 58094   
siren                     | \ue2ef     | 58095   
slice                     | \ue2f0     | 58096   
stethoscope               | \ue2f1     | 58097   
syringe                   | \ue2f2     | 58098   
tree-deciduous            | \ue2f3     | 58099   
tree-pine                 | \ue2f4     | 58100   
trees                     | \ue2f5     | 58101   
utensils                  | \ue2f6     | 58102   
